"Date","Open","High","Low","Close","Adj.Close","Volume"
"2019-08-09",16372,16423.199219,16305.599609,16341.299805,16341.299805,21069400000
"2019-08-12",16325.599609,16334.299805,16209.400391,16237.799805,16237.799805,19394460000
"2019-08-13",16235.299805,16375,16232.700195,16350.799805,16350.799805,22750660000
"2019-08-14",16212.5,16260.200195,16022.5,16045.900391,16045.900391,23543810000
"2019-08-15",16026.700195,16066.599609,15964.400391,16012.5,16012.5,20238600000
"2019-08-16",16064.400391,16162.400391,16053.5,16149.799805,16149.799805,0
"2019-08-19",16218.299805,16321.299805,16206.599609,16304.099609,16304.099609,0
"2019-08-20",16281.400391,16281.400391,16198.900391,16213.299805,16213.299805,16528120000
"2019-08-21",16247.5,16309.200195,16240.299805,16309.200195,16309.200195,17909370000
"2019-08-22",16314,16335.099609,16238.400391,16253.5,16253.5,14575650000
"2019-08-23",16214.799805,16301.599609,16003.099609,16037.599609,16037.599609,22739220000
"2019-08-26",16133.599609,16167.5,16069.900391,16098.799805,16098.799805,16794290000
"2019-08-27",16138.5,16193.299805,16125.200195,16183.599609,16183.599609,23215630000
"2019-08-28",16178.700195,16294.099609,16166.299805,16271.700195,16271.700195,18241760000
"2019-08-29",16360.299805,16407.300781,16342.700195,16384.5,16384.5,18311220000
"2019-08-30",16431.800781,16456.5,16377.700195,16442.099609,16442.099609,17898720000
"2019-09-03",16382.5,16434.199219,16328.400391,16399.199219,16399.199219,22331690000
"2019-09-04",16487,16550,16435.300781,16448.800781,16448.800781,20134600000
"2019-09-05",16498.5,16604.400391,16492.199219,16574.800781,16574.800781,23640650000
"2019-09-06",16546.199219,16577.699219,16519.900391,16535.300781,16535.300781,18544370000
"2019-09-09",16565.199219,16566.699219,16463.300781,16495.099609,16495.099609,21689410000
"2019-09-10",16467.300781,16537.300781,16459.400391,16537.300781,16537.300781,23845580000
"2019-09-11",16565.199219,16623,16548.900391,16611.099609,16611.099609,21870700000
"2019-09-12",16624.099609,16696.400391,16592.400391,16643.300781,16643.300781,26793440000
"2019-09-13",16679.800781,16756.099609,16679.800781,16682.400391,16682.400391,22191990000
"2019-09-16",16706.300781,16767.199219,16698.300781,16751.300781,16751.300781,30759260000
"2019-09-17",16738.300781,16855.5,16727.199219,16834.800781,16834.800781,24710200000
"2019-09-18",16824.5,16851.5,16731.099609,16800.300781,16800.300781,23211490000
"2019-09-19",16829.599609,16913.5,16829.599609,16858.400391,16858.400391,20932590000
"2019-09-20",16896.800781,16947.199219,16864.199219,16899.699219,16899.699219,50113020000
"2019-09-23",16870.099609,16892.5,16846.400391,16867.199219,16867.199219,16855270000
"2019-09-24",16877.400391,16917.599609,16772.400391,16798.300781,16798.300781,20730850000
"2019-09-25",16771,16800.900391,16725.800781,16784.300781,16784.300781,19746400000
"2019-09-26",16788.099609,16800.699219,16749.900391,16790.400391,16790.400391,20456240000
"2019-09-27",16769.400391,16769.400391,16656.400391,16694.300781,16694.300781,19646170000
"2019-09-30",16666.699219,16730.5,16658.599609,16658.599609,16658.599609,20079180000
"2019-10-01",16683.599609,16707.5,16429.599609,16447.699219,16447.699219,22519570000
"2019-10-02",16401.800781,16417,16223.599609,16311,16311,21820010000
"2019-10-03",16285.400391,16369.599609,16198.099609,16369,16369,23788310000
"2019-10-04",16386.900391,16453.199219,16362,16449.400391,16449.400391,18348500000
"2019-10-07",16420.699219,16474.699219,16394.5,16421.800781,16421.800781,15583330000
"2019-10-08",16366.5,16372.700195,16274.700195,16294,16294,19843220000
"2019-10-09",16347.299805,16409.099609,16308.700195,16379.900391,16379.900391,16838930000
"2019-10-10",16375.400391,16444.400391,16358.099609,16422.699219,16422.699219,18601460000
"2019-10-11",16487.199219,16516.699219,16413.400391,16415.199219,16415.199219,20074660000
"2019-10-15",16433.699219,16510.699219,16417.800781,16418.400391,16418.400391,21233300000
"2019-10-16",16435.099609,16445.599609,16408.699219,16427.199219,16427.199219,16596830000
"2019-10-17",16450.5,16468.800781,16400.5,16426.300781,16426.300781,16839770000
"2019-10-18",16452.699219,16462.099609,16376.599609,16377.099609,16377.099609,16641740000
"2019-10-21",16421,16443.300781,16412.099609,16418.5,16418.5,15510570000
"2019-10-22",16470.300781,16484.800781,16391.5,16391.5,16391.5,17197950000
"2019-10-23",16386.099609,16395.900391,16309.200195,16335.900391,16335.900391,18190670000
"2019-10-24",16380.799805,16412.099609,16332.5,16369.299805,16369.299805,16715910000
"2019-10-25",16369.799805,16425,16356.5,16404.5,16404.5,17351830000
"2019-10-28",16434.400391,16453.199219,16387.5,16387.5,16387.5,16217530000
"2019-10-29",16330.900391,16454.099609,16315.599609,16418.099609,16418.099609,17811650000
"2019-10-30",16412.5,16501.5,16373.5,16501.400391,16501.400391,16000830000
"2019-10-31",16473.300781,16483.199219,16409.5,16483.199219,16483.199219,22227950000
"2019-11-01",16537.699219,16608,16534.900391,16594.099609,16594.099609,20117540000
"2019-11-04",16646.099609,16681.599609,16642.5,16669.800781,16669.800781,24477490000
"2019-11-05",16663.900391,16696.800781,16660.300781,16681.900391,16681.900391,22938150000
"2019-11-06",16693,16766.599609,16666.900391,16745.599609,16745.599609,21718120000
"2019-11-07",16797.300781,16834.400391,16788.599609,16805.800781,16805.800781,24258040000
"2019-11-08",16795.699219,16879.699219,16795.699219,16877.400391,16877.400391,20748380000
"2019-11-11",16834.800781,16895.099609,16819.900391,16882.800781,16882.800781,15312270000
"2019-11-12",16898.099609,16927.5,16884.800781,16909.400391,16909.400391,23096040000
"2019-11-13",16891.599609,16987.300781,16880.699219,16958,16958,18450790000
"2019-11-14",16959.900391,16984.099609,16939.099609,16972.199219,16972.199219,16639150000
"2019-11-15",16982.699219,17036,16978,17028.5,17028.5,18937940000
"2019-11-18",17003.800781,17025.099609,16994.5,17025.099609,17025.099609,20617910000
"2019-11-19",17033.900391,17033.900391,16963.900391,17011.400391,17011.400391,22499500000
"2019-11-20",16992.099609,17040.599609,16962.599609,17005.800781,17005.800781,23737970000
"2019-11-21",17019.5,17019.5,16950.800781,16999.199219,16999.199219,23645580000
"2019-11-22",17012.5,17012.5,16935.699219,16954.800781,16954.800781,19953460000
"2019-11-25",16980.599609,17048.5,16972.699219,17032.900391,17032.900391,21853990000
"2019-11-26",17016.900391,17048.199219,16975.699219,17035.900391,17035.900391,32757610000
"2019-11-27",17046.599609,17104.300781,17023.300781,17100.599609,17100.599609,17618400000
"2019-11-28",17086.800781,17120.900391,17077.800781,17114.5,17114.5,6377410000
"2019-11-29",17099.199219,17117.199219,17040.199219,17040.199219,17040.199219,15588050000
"2019-12-02",17060.900391,17060.900391,16930.400391,16981.5,16981.5,19865910000
"2019-12-03",16900.300781,16908.5,16853.199219,16892.199219,16892.199219,22064880000
"2019-12-04",16909.300781,16957.900391,16893.400391,16897.300781,16897.300781,20623970000
"2019-12-05",16886.800781,16886.800781,16817,16854.900391,16854.900391,22723080000
"2019-12-06",16937.400391,17023.300781,16930,16997,16997,18333840000
"2019-12-09",16986.699219,17003.400391,16934.699219,16950.900391,16950.900391,19455680000
"2019-12-10",16947.099609,16967.5,16906.599609,16950.699219,16950.699219,18721330000
"2019-12-11",16968.199219,17006,16915.199219,16939.599609,16939.599609,19171900000
"2019-12-12",16951.599609,17031.900391,16946.199219,16946.900391,16946.900391,24256960000
"2019-12-13",16956.099609,17036.800781,16930,17003.099609,17003.099609,29650890000
"2019-12-16",17043.800781,17095.5,17036.099609,17056.400391,17056.400391,20503570000
"2019-12-17",17065.699219,17088,17032.300781,17075.199219,17075.199219,20681450000
"2019-12-18",17047,17051.699219,17004.5,17032,17032,24887310000
"2019-12-19",17036.699219,17079,17015.400391,17064,17064,20778430000
"2019-12-20",17078.699219,17166,17078.699219,17118.400391,17118.400391,46580100000
"2019-12-23",17149,17166.400391,17102.300781,17128.699219,17128.699219,16252040000
"2019-12-24",17132.800781,17180.199219,17095.199219,17180.199219,17180.199219,9319500000
"2019-12-27",17216.199219,17230.599609,17145,17168.199219,17168.199219,13479670000
"2019-12-30",17159.599609,17159.599609,17066.599609,17098.599609,17098.599609,12808490000
"2019-12-31",17052.400391,17079.5,17027.400391,17063.400391,17063.400391,15509860000
"2020-01-02",17131.599609,17164.599609,17043.5,17100,17100,15621350000
"2020-01-03",17054.800781,17105.699219,17033.199219,17066.099609,17066.099609,18549210000
"2020-01-06",17042.300781,17105.5,17041.199219,17105.5,17105.5,19535180000
"2020-01-07",17119.599609,17178,17110.300781,17168.099609,17168.099609,17193580000
"2020-01-08",17172.699219,17229.900391,17164.599609,17167.800781,17167.800781,24698010000
"2020-01-09",17205.900391,17255.5,17201.300781,17235.599609,17235.599609,22250120000
"2020-01-10",17223.199219,17254.099609,17187.199219,17234.5,17234.5,19251410000
"2020-01-13",17237.599609,17301.800781,17198.900391,17293.400391,17293.400391,26808680000
"2020-01-14",17288.599609,17356.5,17281.300781,17352.900391,17352.900391,23549560000
"2020-01-15",17364.800781,17421.699219,17345.099609,17415.199219,17415.199219,20764520000
"2020-01-16",17443.5,17489.599609,17438.5,17484.800781,17484.800781,26142060000
"2020-01-17",17507.699219,17572.199219,17502.400391,17559,17559,22467330000
"2020-01-20",17548.099609,17620.199219,17538.400391,17597.400391,17597.400391,11182110000
"2020-01-21",17551.5,17589.5,17536.300781,17572.300781,17572.300781,24156310000
"2020-01-22",17570.300781,17666.5,17558,17599.900391,17599.900391,21332970000
"2020-01-23",17564.800781,17621.800781,17540.800781,17621.800781,17621.800781,33091430000
