"ï..Date","Price","Open","High","Low","Vol.","Change.."
"May 16, 2019",12310.37,12077.36,12310.37,12030.3,"109.00M","1.74%"
"May 15, 2019",12099.57,12018.45,12099.57,11862.21,"125.84M","0.90%"
"May 14, 2019",11991.62,11908.77,11991.83,11897.93,"106.20M","0.97%"
"May 13, 2019",11876.65,12044.1,12052.93,11844.47,"110.57M","-1.52%"
"May 10, 2019",12059.83,12105.28,12140.61,12009.75,"142.10M","0.72%"
"May 09, 2019",11973.92,12098.02,12125.96,11957.31,"109.43M","-1.69%"
"May 08, 2019",12179.93,12110.87,12208.48,12063.74,"101.04M","0.72%"
"May 07, 2019",12092.74,12298.71,12319.05,12056.8,"109.81M","-1.58%"
"May 06, 2019",12286.88,12171.9,12298.66,12135.42,"88.43M","-1.01%"
"May 03, 2019",12412.75,12345.32,12435.67,12344.23,"79.12M","0.55%"
"May 02, 2019",12345.42,12349.1,12402.87,12303.96,"96.36M","0.01%"
"Apr 30, 2019",12344.08,12313.97,12345.31,12281.72,"82.44M","0.13%"
"Apr 29, 2019",12328.02,12308.98,12376.06,12266.34,"70.68M","0.10%"
"Apr 26, 2019",12315.18,12284.46,12323.64,12259.76,"90.05M","0.27%"
"Apr 25, 2019",12282.6,12304.53,12321.79,12236.14,"96.28M","-0.25%"
"Apr 24, 2019",12313.16,12232.99,12349.83,12223.98,"106.44M","0.63%"
"Apr 23, 2019",12235.51,12224.32,12251.81,12182.98,"77.35M","0.11%"
"Apr 18, 2019",12222.39,12138.14,12243.63,12100,"108.85M","0.57%"
"Apr 17, 2019",12153.07,12100.44,12195,12086.89,"102.28M","0.43%"
"Apr 16, 2019",12101.32,12026.74,12116.25,12025.66,"83.38M","0.67%"
"Apr 15, 2019",12020.28,12011.11,12029.98,11983.33,"65.12M","0.17%"
"Apr 12, 2019",11999.93,11912.58,12031.15,11889.99,"92.89M","0.54%"
"Apr 11, 2019",11935.2,11914.51,11963.43,11846.6,"78.55M","0.25%"
"Apr 10, 2019",11905.91,11864.46,11937.11,11863.8,"68.62M","0.47%"
"Apr 09, 2019",11850.57,11927.01,11988.53,11850.57,"67.93M","-0.94%"
"Apr 08, 2019",11963.4,11979.73,11989.59,11948.26,"65.65M","-0.39%"
"Apr 05, 2019",12009.75,11993.22,12024.23,11967.7,"74.96M","0.18%"
"Apr 04, 2019",11988.01,11924.61,12029.26,11916.57,"80.22M","0.28%"
"Apr 03, 2019",11954.4,11855.4,11961.36,11854.21,"96.29M","1.70%"
"Apr 02, 2019",11754.79,11703.24,11777.65,11659.15,"79.78M","0.62%"
"Apr 01, 2019",11681.99,11617.18,11706.64,11612.7,"99.98M","1.35%"
"Mar 29, 2019",11526.04,11492.09,11549.42,11442.12,"92.09M","0.86%"
"Mar 28, 2019",11428.16,11422.16,11494.15,11414.66,"92.17M","0.08%"
"Mar 27, 2019",11419.04,11439.02,11502.35,11368.13,"105.27M","-0.00%"
"Mar 26, 2019",11419.48,11374.18,11447.13,11299.8,"82.46M","0.64%"
"Mar 25, 2019",11346.65,11323.2,11392,11312.54,"77.38M","-0.15%"
"Mar 22, 2019",11364.17,11578.39,11623.97,11356.49,"115.66M","-1.61%"
"Mar 21, 2019",11549.96,11566.87,11582.54,11467.79,"94.45M","-0.46%"
"Mar 20, 2019",11603.89,11704.44,11721.41,11596.2,"103.95M","-1.57%"
"Mar 19, 2019",11788.41,11672.76,11823.29,11652.02,"84.06M","1.13%"
"Mar 18, 2019",11657.06,11685.54,11712.36,11635.88,"93.93M","-0.25%"
"Mar 15, 2019",11685.69,11608.67,11725.66,11575.33,"193.80M","0.85%"
"Mar 14, 2019",11587.47,11573.42,11635.76,11541.1,"90.30M","0.13%"
"Mar 13, 2019",11572.41,11499.32,11586.9,11486.74,"80.79M","0.42%"
"Mar 12, 2019",11524.17,11612.46,11618.73,11499.47,"90.07M","-0.17%"
"Mar 11, 2019",11543.48,11497.98,11550.59,11462.9,"73.79M","0.75%"
"Mar 08, 2019",11457.84,11429.77,11475.55,11405.21,"84.48M","-0.52%"
"Mar 07, 2019",11517.8,11546.42,11612.95,11452.86,"102.61M","-0.60%"
"Mar 06, 2019",11587.63,11593.21,11652.77,11565.22,"67.22M","-0.28%"
"Mar 05, 2019",11620.74,11570.97,11627.78,11551.45,"65.61M","0.24%"
"Mar 04, 2019",11592.66,11646.21,11650.44,11591.74,"60.22M","-0.08%"
"Mar 01, 2019",11601.68,11584.24,11676.86,11583.08,"74.96M","0.75%"
"Feb 28, 2019",11515.64,11430.8,11524.99,11416.08,"86.73M","0.25%"
"Feb 27, 2019",11487.33,11493.81,11521.22,11442.97,"86.87M","-0.46%"
"Feb 26, 2019",11540.79,11446.29,11556.87,11441.87,"76.32M","0.31%"
"Feb 25, 2019",11505.39,11517.76,11544.31,11480.49,"72.11M","0.42%"
"Feb 22, 2019",11457.7,11422.62,11504.71,11420.74,"68.96M","0.30%"
"Feb 21, 2019",11423.28,11448.65,11454.44,11392.27,"80.19M","0.19%"
"Feb 20, 2019",11401.97,11338.74,11437.47,11318.74,"74.07M","0.82%"
"Feb 19, 2019",11309.21,11280.73,11371.44,11244.52,"69.22M","0.09%"
"Feb 18, 2019",11299.2,11287.74,11318.19,11256.27,"57.20M","-0.01%"
"Feb 15, 2019",11299.8,11044.8,11323.05,11018.95,"108.91M","1.89%"
"Feb 14, 2019",11089.79,11257.8,11260.55,11077.78,"85.96M","-0.69%"
"Feb 13, 2019",11167.22,11174.85,11217.3,11125.59,"71.93M","0.37%"
"Feb 12, 2019",11126.08,11123.43,11164.38,11116.86,"77.16M","1.01%"
"Feb 11, 2019",11014.59,10955.83,11041.95,10944.58,"71.70M","0.99%"
"Feb 08, 2019",10906.78,10991.79,11045.41,10863.56,"105.47M","-1.05%"
"Feb 07, 2019",11022.02,11262.97,11286.46,11022.02,"111.36M","-2.67%"
"Feb 06, 2019",11324.72,11337.54,11347.94,11297.42,"78.24M","-0.38%"
"Feb 05, 2019",11367.98,11178.75,11371.74,11177.7,"92.18M","1.71%"
"Feb 04, 2019",11176.58,11180.42,11209.31,11100.34,"76.46M","-0.04%"
"Feb 01, 2019",11180.66,11198.46,11218.51,11116.08,"104.85M","0.07%"
"Jan 31, 2019",11173.1,11257.92,11311.37,11051.11,"115.41M","-0.08%"
"Jan 30, 2019",11181.66,11210.68,11215.21,11132.38,"75.91M","-0.33%"
"Jan 29, 2019",11218.83,11191.52,11276.28,11159.17,"77.45M","0.08%"
"Jan 28, 2019",11210.31,11233.16,11275.21,11196.42,"75.38M","-0.63%"
"Jan 25, 2019",11281.79,11234.05,11321.62,11218.35,"103.09M","1.36%"
"Jan 24, 2019",11130.18,11045.64,11149.32,11032.53,"113.97M","0.53%"
"Jan 23, 2019",11071.54,11043.64,11135.75,11007.21,"90.47M","-0.17%"
"Jan 22, 2019",11090.11,11076.98,11142.22,11034.55,"75.72M","-0.41%"
"Jan 21, 2019",11136.2,11176.12,11179.91,11125.53,"68.00M","-0.62%"
"Jan 18, 2019",11205.54,11001.31,11216.82,10993.83,"122.82M","2.63%"
"Jan 17, 2019",10918.62,10852.5,10929.3,10822.25,"81.78M","-0.12%"
"Jan 16, 2019",10931.24,10940.36,10947.87,10866.39,"82.28M","0.36%"
"Jan 15, 2019",10891.79,10962.95,10994.83,10812.59,"82.68M","0.33%"
"Jan 14, 2019",10855.91,10820.85,10886.23,10786.75,"67.99M","-0.29%"
"Jan 11, 2019",10887.46,10949.13,10959,10829.92,"77.87M","-0.31%"
"Jan 10, 2019",10921.59,10843.89,10927.13,10788.05,"79.65M","0.26%"
"Jan 09, 2019",10893.32,10884.75,10961.92,10839.09,"99.04M","0.83%"
"Jan 08, 2019",10803.98,10750.19,10910.71,10745.03,"96.57M","0.52%"
"Jan 07, 2019",10747.81,10814.39,10814.47,10681.27,"73.35M","-0.18%"
"Jan 04, 2019",10767.69,10533.94,10786.34,10483.9,"98.29M","3.37%"
"Jan 03, 2019",10416.66,10467.11,10538.66,10400.11,"87.35M","-1.55%"
"Jan 02, 2019",10580.19,10477.77,10612.72,10386.97,"82.09M","0.20%"
"Dec 28, 2018",10558.96,10452.02,10586.8,10431.38,"54.23M","1.71%"
"Dec 27, 2018",10381.51,10607.42,10635.45,10279.2,"107.37M","-2.37%"
