"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Dec 21, 2018",22445.37,22871.74,23254.59,22396.34,"900.51M","-1.81%"
"Dec 20, 2018",22859.6,23224.12,23282.2,22644.31,"576.70M","-1.99%"
"Dec 19, 2018",23323.66,23693.33,24057.34,23162.64,"503.55M","-1.49%"
"Dec 18, 2018",23675.64,23769.13,23927.77,23516.02,"408.07M","0.35%"
"Dec 17, 2018",23592.98,23986.83,24088.08,23456.88,"466.74M","-2.11%"
"Dec 14, 2018",24100.51,24408.04,24431.14,24033.79,"416.94M","-2.02%"
"Dec 13, 2018",24597.38,24575.86,24740.96,24473.29,"299.97M","0.29%"
"Dec 12, 2018",24527.27,24509.09,24828.29,24509.09,"344.33M","0.64%"
"Dec 11, 2018",24370.24,24719.91,24791.26,24221.06,"342.96M","-0.22%"
"Dec 10, 2018",24423.26,24360.95,24500.81,23881.37,"389.69M","0.14%"
"Dec 07, 2018",24388.95,24918.82,25095.62,24284.78,"398.23M","-2.24%"
"Dec 06, 2018",24947.67,24737.42,24951.01,24242.22,"471.69M","-0.32%"
"Dec 04, 2018",25027.07,25752.56,25773.12,25008.11,"418.90M","-3.10%"
"Dec 03, 2018",25826.43,25779.57,25980.21,25670.51,"388.48M","1.13%"
"Nov 30, 2018",25538.46,25307.14,25549.71,25250.97,"482.25M","0.79%"
"Nov 29, 2018",25338.84,25343.65,25479.04,25202.79,"305.11M","-0.11%"
"Nov 28, 2018",25366.43,24832.84,25368.93,24832.84,"362.16M","2.50%"
"Nov 27, 2018",24748.73,24557.02,24750.73,24416.03,"308.25M","0.44%"
"Nov 26, 2018",24640.24,24364.13,24673.29,24364.13,"306.28M","1.46%"
"Nov 23, 2018",24285.95,24336.4,24408.8,24268.74,"155.94M","-0.73%"
"Nov 21, 2018",24464.69,24541.65,24669.79,24463.28,"289.37M","-0.00%"
"Nov 20, 2018",24465.64,24618.68,24707.26,24368.98,"445.92M","-2.21%"
"Nov 19, 2018",25017.44,25392.61,25392.61,24900.98,"358.09M","-1.56%"
"Nov 16, 2018",25413.22,25242.35,25510.23,25147.8,"354.46M","0.49%"
"Nov 15, 2018",25289.27,25061.48,25354.56,24787.79,"392.75M","0.83%"
"Nov 14, 2018",25080.5,25388.08,25501.29,24935.82,"384.24M","-0.81%"
"Nov 13, 2018",25286.49,25321.21,25511.03,25193.78,"339.69M","-0.40%"
